USER_ID|YOB|Gender|Income|HouseholdStatus|EducationLevel|Q124742|Q124122|Q123464|Q123621|Q122769|Q122770|Q122771|Q122120|Q121699|Q121700|Q120978|Q121011|Q120379|Q120650|Q120472|Q120194|Q120012|Q120014|Q119334|Q119851|Q119650|Q118892|Q118117|Q118232|Q118233|Q118237|Q117186|Q117193|Q116797|Q116881|Q116953|Q116601|Q116441|Q116448|Q116197|Q115602|Q115777|Q115610|Q115611|Q115899|Q115390|Q114961|Q114748|Q115195|Q114517|Q114386|Q113992|Q114152|Q113583|Q113584|Q113181|Q112478|Q112512|Q112270|Q111848|Q111580|Q111220|Q110740|Q109367|Q108950|Q109244|Q108855|Q108617|Q108856|Q108754|Q108342|Q108343|Q107869|Q107491|Q106993|Q106997|Q106272|Q106388|Q106389|Q106042|Q105840|Q105655|Q104996|Q103293|Q102906|Q102674|Q102687|Q102289|Q102089|Q101162|Q101163|Q101596|Q100689|Q100680|Q100562|Q99982|Q100010|Q99716|Q99581|Q99480|Q98869|Q98578|Q98059|Q98078|Q98197|Q96024
62|1958|Female|$50,000 - $74,999|Domestic Partners (no kids)|Bachelor's Degree|-1|-1|0|0|-1|1|1|-1|1|-1|-1|1|-1|1|0|-1|-1|0|0|1|-1|1|-1|0|0|0|0|-1|-1|-1|0|1|-1|1|1|-1|-1|1|-1|1|0|0|1|0|-1|1|0|0|1|0|0|-1|1|0|1|0|0|1|1|0|1|0|0|-1|-1|0|1|1|1|1|1|1|0|0|1|-1|1|0|0|0|0|0|0|-1|-1|0|0|1|0|0|0|1|-1|-1|1|0|0|0|0|0|-1
68|1960|Female|$75,000 - $100,000|Married (w/kids)|Master's Degree|-1|1|-1|-1|1|1|1|1|1|-1|-1|1|1|1|1|-1|1|1|1|-1|-1|1|-1|-1|-1|-1|-1|1|1|-1|1|1|-1|-1|-1|1|1|1|1|-1|1|-1|1|-1|1|-1|-1|-1|1|1|1|1|1|-1|1|1|-1|1|1|1|-1|1|-1|1|-1|-1|1|1|1|1|1|1|-1|-1|1|-1|1|1|1|-1|1|1|-1|1|-1|1|1|1|1|1|1|1|-1|0|1|-1|-1|1|1|1|-1
72|1985|Male|$50,000 - $74,999|Single (no kids)|High School Diploma|0|0|-1|1|0|1|1|-1|1|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|-1|-1|0|0|0|1|1|0|1|0|-1|-1|0|0|1|0|0|0|0|0|0|1|0|-1|-1|1|-1|0|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
74|1978|Male|$50,000 - $74,999|Single (w/kids)|Current Undergraduate|0|0|-1|0|0|0|1|-1|1|1|1|1|0|1|-1|1|1|0|0|1|-1|1|1|0|-1|0|-1|0|0|0|0|1|1|-1|0|1|-1|0|1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|1|0|0|1|1|1|-1|-1|1|1|-1|1|1|-1|-1|-1|1|0|1|0|1|1|0|0|0|0|1|1|-1|0|0|-1|0|-1|-1|-1|-1|0|1|1|0|1|-1|-1|1|1|0|1|1|1|0
80|1998|Female|$75,000 - $100,000|Single (no kids)|Current K-12|1|1|-1|-1|-1|1|1|-1|1|-1|1|-1|-1|1|1|-1|-1|1|1|1|-1|1|1|1|-1|-1|1|1|-1|-1|1|-1|-1|1|1|-1|1|-1|-1|-1|-1|1|1|-1|1|1|-1|-1|1|-1|-1|-1|1|1|1|-1|-1|1|-1|1|-1|1|-1|1|1|-1|-1|1|1|1|-1|-1|-1|1|-1|-1|-1|1|1|1|-1|1|-1|-1|-1|-1|-1|-1|-1|1|1|1|-1|-1|1|1|-1|1|-1|-1|1
81|1966|Male|over $150,000|Married (w/kids)|Master's Degree|-1|1|-1|1|-1|1|1|-1|1|-1|1|-1|1|1|1|-1|1|1|-1|1|-1|1|-1|1|-1|-1|-1|1|1|-1|1|1|1|-1|-1|1|1|1|-1|1|1|-1|1|-1|1|-1|1|-1|-1|-1|-1|-1|1|1|1|1|-1|1|-1|1|-1|1|-1|-1|-1|-1|1|1|1|1|1|1|1|-1|-1|-1|1|1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|1|1|1|1|1|-1|1|1
87|1990|Male|$25,001 - $50,000|Single (no kids)|Bachelor's Degree|-1|1|-1|-1|1|1|1|-1|1|-1|1|1|-1|1|1|1|1|1|-1|1|-1|-1|-1|-1|-1|1|1|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|1|1|-1|1|1|-1|-1|-1|1|1|-1|1|1|1|1|1|-1|-1|0|-1|1|1|-1|-1|1|1|1|1|1|1|1|-1|-1|1|-1|1|0|0|-1|-1|1|1|-1|1|-1|1|-1|-1|1|1|1|1|-1|-1|-1|1|1|-1|1|-1|1
92|1984|Male|$100,001 - $150,000|Single (no kids)|Bachelor's Degree|-1|-1|-1|1|-1|1|1|1|1|-1|1|-1|-1|1|1|-1|-1|1|1|1|-1|1|-1|1|-1|-1|1|1|-1|-1|-1|1|-1|1|1|1|-1|1|-1|1|-1|-1|1|1|-1|-1|-1|-1|1|1|-1|1|1|-1|1|1|-1|1|-1|-1|-1|1|-1|1|1|-1|-1|1|1|1|-1|-1|-1|-1|-1|-1|1|1|-1|-1|-1|1|-1|-1|1|-1|1|1|-1|-1|-1|1|1|-1|-1|-1|1|1|-1|-1|1
96|1983|Male|$75,000 - $100,000|Married (w/kids)|Master's Degree|0|1|-1|1|-1|-1|-1|-1|1|-1|-1|1|1|0|1|1|-1|1|1|-1|-1|1|1|-1|-1|1|-1|1|1|-1|1|1|1|1|-1|1|-1|1|-1|1|-1|1|1|-1|-1|-1|1|-1|-1|-1|-1|-1|1|1|1|1|-1|-1|1|1|-1|-1|-1|1|1|-1|1|1|1|1|1|1|-1|1|1|-1|1|-1|1|-1|1|1|-1|-1|-1|1|1|1|1|1|-1|-1|-1|-1|-1|1|-1|-1|-1|-1|1
100|1979|Male|$100,001 - $150,000|Married (w/kids)|Bachelor's Degree|0|1|-1|1|1|1|1|-1|1|-1|1|-1|1|-1|1|-1|-1|-1|1|1|-1|1|-1|-1|1|-1|1|1|-1|-1|1|1|-1|-1|-1|1|1|1|1|-1|1|-1|1|1|1|1|1|1|1|-1|-1|1|-1|-1|-1|-1|-1|1|1|-1|-1|1|-1|-1|-1|-1|-1|-1|1|1|-1|1|1|1|-1|-1|1|-1|-1|-1|1|1|-1|-1|-1|1|1|1|1|1|-1|1|-1|-1|1|1|1|1|-1|-1|1
104|1985|Male|$25,001 - $50,000|Married (no kids)|Bachelor's Degree|-1|-1|-1|1|-1|-1|1|-1|1|-1|1|1|-1|1|1|-1|1|-1|-1|1|-1|1|-1|-1|1|1|1|1|-1|-1|1|1|1|1|-1|1|1|-1|1|1|1|-1|1|1|-1|1|-1|-1|1|1|-1|1|1|-1|-1|1|-1|1|1|1|1|1|1|-1|1|-1|1|1|1|1|1|1|-1|-1|1|1|1|-1|1|-1|-1|1|-1|1|-1|1|1|1|1|1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1
105|1993|Female|over $150,000|Married (w/kids)|Current Undergraduate|0|-1|-1|-1|-1|1|1|1|-1|-1|1|1|1|1|0|0|-1|0|0|-1|-1|1|1|0|0|0|0|1|1|-1|1|1|-1|0|-1|1|-1|1|-1|0|0|1|-1|1|-1|0|-1|0|1|-1|1|1|0|0|0|1|-1|1|0|0|0|0|0|0|-1|-1|0|0|1|1|1|0|0|1|1|1|1|1|1|0|-1|1|-1|-1|-1|0|-1|-1|1|1|-1|0|-1|-1|1|1|-1|1|1|1|0
108|1976|Male|under $25,000|Single (no kids)|High School Diploma|0|0|-1|1|1|1|1|-1|0|0|0|0|0|0|0|0|1|-1|1|1|-1|-1|0|1|-1|-1|0|0|0|0|0|0|1|-1|1|1|-1|1|1|1|-1|1|1|1|-1|-1|1|-1|1|1|0|1|1|0|1|-1|-1|1|1|1|-1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|-1|1|0|-1|-1|0|0|0|0|0|0|0|0|0|0|-1|1|-1|-1|0
124|1981|Female|under $25,000|Single (no kids)|Bachelor's Degree|-1|1|-1|1|-1|-1|1|1|1|-1|0|-1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|-1|0|0|1|-1|1|1|1|1|1|-1|1|-1|-1|1|1|-1|1|-1|-1|1|-1|-1|-1|1|-1|-1|1|-1|1|1|-1|1|1|-1|1|-1|-1|1|-1|1|-1|1|-1|-1|1|-1|1|-1|1|-1|1|-1|1|-1|1|1|1|-1|-1|1|1|-1|1|1|-1|1|-1|0|0|0|0|-1
125|1975|Female|$50,000 - $74,999|Single (no kids)|High School Diploma|0|-1|0|1|0|-1|0|-1|1|-1|1|1|1|0|0|0|0|0|1|-1|0|-1|-1|0|-1|-1|-1|1|1|0|0|1|1|0|-1|0|0|0|-1|0|-1|0|1|1|0|0|-1|0|1|-1|0|0|1|0|-1|1|-1|0|0|0|0|1|1|0|-1|-1|-1|1|1|1|0|0|-1|0|1|0|1|1|-1|0|1|1|0|-1|-1|0|0|-1|0|1|0|1|-1|-1|1|1|0|1|0|0|1
127|1969|Male|over $150,000|Single (w/kids)|Doctoral Degree|1|1|-1|1|1|1|1|-1|1|1|1|1|1|1|1|-1|1|1|1|-1|1|1|-1|1|-1|1|-1|1|-1|-1|-1|1|-1|1|1|1|1|1|-1|-1|-1|-1|1|1|-1|-1|-1|-1|1|-1|-1|-1|1|1|1|-1|-1|-1|-1|-1|-1|1|1|1|1|-1|-1|-1|1|1|1|-1|1|1|1|1|1|1|-1|1|-1|-1|1|1|-1|-1|-1|-1|1|1|-1|1|1|-1|-1|1|1|1|1|-1|1
128|1994|Female|under $25,000|Single (no kids)|Current Undergraduate|-1|-1|0|-1|-1|1|-1|1|1|1|1|1|-1|1|0|-1|-1|0|0|1|-1|1|1|0|-1|-1|-1|1|-1|0|0|1|-1|0|0|0|0|1|-1|0|-1|0|-1|1|-1|-1|-1|0|1|-1|1|-1|1|0|1|1|-1|-1|0|-1|0|1|-1|1|-1|-1|0|1|1|1|1|-1|-1|0|-1|-1|1|1|-1|-1|-1|-1|1|1|-1|-1|1|-1|1|1|-1|1|-1|-1|1|1|-1|1|-1|1|0
129|1961|Male|over $150,000|Married (w/kids)|Associate's Degree|-1|-1|-1|1|0|1|1|-1|1|-1|-1|1|-1|1|1|1|0|0|-1|0|-1|0|0|0|0|0|0|0|1|1|-1|1|0|0|0|0|0|0|0|0|-1|1|1|1|-1|1|0|0|1|1|1|-1|0|-1|1|1|-1|1|1|-1|-1|1|-1|1|1|1|1|1|0|1|1|1|1|-1|0|0|-1|-1|1|-1|1|-1|1|-1|-1|-1|1|1|1|1|1|0|-1|-1|1|0|0|0|0|0|1
130|1988|Female|under $25,000|Single (no kids)|Bachelor's Degree|0|-1|-1|-1|0|0|0|0|-1|-1|1|0|0|1|-1|0|0|0|0|1|-1|0|-1|-1|-1|1|-1|0|-1|0|0|1|0|0|1|-1|0|1|-1|0|1|-1|1|1|-1|-1|-1|1|0|1|1|-1|0|0|0|1|0|-1|1|-1|1|0|-1|0|1|0|0|-1|1|1|0|0|1|0|-1|-1|1|-1|1|1|-1|-1|-1|0|-1|1|-1|-1|1|1|0|0|0|-1|1|0|0|1|1|1|-1
139|1990|Male|$25,001 - $50,000|Married (no kids)|Bachelor's Degree|1|1|-1|1|-1|1|1|-1|1|1|1|1|-1|1|1|-1|-1|1|1|1|1|1|1|-1|-1|-1|-1|-1|-1|1|1|1|-1|-1|1|1|-1|-1|1|1|-1|1|1|1|1|-1|1|-1|1|1|1|1|1|-1|1|1|-1|1|-1|-1|-1|1|-1|1|-1|-1|-1|1|1|1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|1|-1|-1|1|1|1|1|1|-1|-1|1|1|-1|1|-1|1|1
149|1975|Male|$75,000 - $100,000|Married (w/kids)|High School Diploma|-1|1|-1|1|-1|-1|-1|-1|1|-1|1|1|-1|1|1|-1|1|1|-1|-1|-1|-1|1|-1|-1|1|1|1|-1|-1|1|1|1|-1|1|1|-1|1|1|-1|-1|-1|-1|1|1|1|1|1|-1|-1|-1|-1|1|1|1|1|-1|1|-1|-1|-1|-1|-1|1|-1|-1|1|-1|1|1|-1|1|-1|-1|1|-1|-1|1|1|-1|1|-1|1|-1|-1|-1|-1|-1|1|1|-1|1|-1|-1|1|1|-1|1|-1|-1|1
151|1973|Male|$25,001 - $50,000|Single (no kids)|High School Diploma|0|-1|-1|1|-1|1|1|-1|1|-1|1|1|-1|1|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|1|1|1|-1|1|1|1|1|1|-1|1|-1|1|1|1|-1|-1|1|1|1|-1|1|-1|-1|-1|-1|1|1|-1|-1|-1|-1|1|1|-1|-1|1|-1|1|-1|-1|1|1|1|1|1|1|-1|1|-1|-1|1|-1|-1|1|-1|-1|-1|1|1|-1|-1|1|-1|1|1|1|-1|-1|1|1|-1|1|-1|-1|-1
154|1970|Male|$75,000 - $100,000|Married (w/kids)|High School Diploma|1|1|-1|1|-1|1|1|-1|1|-1|-1|-1|0|0|0|0|1|-1|1|1|-1|-1|1|0|-1|-1|1|1|1|-1|1|-1|1|-1|1|-1|1|1|1|1|1|1|-1|1|1|0|-1|-1|1|-1|-1|-1|-1|1|-1|0|1|-1|1|1|-1|0|0|0|0|1|-1|1|-1|1|-1|1|-1|1|-1|-1|1|1|1|1|1|1|1|-1|1|-1|1|-1|-1|1|1|1|-1|1|1|1|1|1|-1|-1|-1
158|1991|Male|$25,001 - $50,000|Married (no kids)|High School Diploma|0|1|-1|1|1|-1|1|-1|1|-1|-1|-1|1|-1|1|1|1|-1|1|-1|-1|1|-1|-1|1|-1|1|-1|1|-1|-1|1|-1|-1|-1|-1|1|1|1|1|1|1|-1|1|-1|1|-1|1|-1|1|-1|-1|1|1|-1|-1|-1|-1|1|-1|-1|1|-1|-1|-1|-1|-1|1|1|1|1|1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|-1|1|1|-1|1|1|1|1|1|1|-1|-1|1|-1|1|1|-1|-1|-1
159|1989|Female|$75,000 - $100,000|Single (no kids)|Current Undergraduate|0|0|-1|0|-1|-1|1|1|1|-1|-1|1|1|1|-1|1|-1|1|-1|1|0|-1|-1|-1|-1|-1|1|1|-1|-1|1|1|1|1|0|1|0|0|-1|0|0|1|-1|1|1|1|0|-1|1|-1|-1|1|1|1|1|1|-1|-1|-1|1|-1|1|-1|-1|1|-1|1|1|1|-1|1|-1|1|0|1|1|-1|-1|1|-1|1|-1|-1|1|-1|-1|-1|-1|1|1|-1|1|-1|-1|1|-1|-1|1|-1|-1|-1
168|1948|Male|over $150,000|Married (w/kids)|Master's Degree|-1|1|-1|1|1|1|1|-1|-1|-1|-1|1|1|1|1|-1|1|1|1|1|-1|1|-1|-1|1|-1|1|1|1|-1|1|1|-1|1|-1|-1|1|1|1|-1|1|1|-1|1|1|1|-1|1|1|-1|1|1|1|1|1|1|-1|-1|1|-1|1|1|-1|-1|1|1|-1|1|1|1|1|1|1|-1|1|1|1|1|1|-1|-1|1|1|-1|-1|-1|1|-1|1|1|-1|1|-1|-1|1|1|1|1|1|1|1
177|1988|Male|$25,001 - $50,000|Married (no kids)|Master's Degree|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|-1|1|1|1|-1|-1|1|1|-1|1|1|-1|1|-1|1|1|-1|1|-1|1|1|1|1|-1|1|-1|1|1|-1|1|1|1|-1|1|-1|-1|-1|-1|-1|-1|1|1|1|1|-1|-1|-1|-1|1|1|1|-1|-1|1|1|1|-1|-1|1|-1|-1|1|-1|-1|-1|-1|1|1|1|1|1|1|1
185|1985|Male|$75,000 - $100,000|Single (no kids)|Bachelor's Degree|-1|-1|-1|1|1|-1|-1|-1|-1|-1|-1|1|-1|1|-1|1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|-1|1|1|-1|-1|-1|1|-1|1|-1|1|-1|1|1|1|1|-1|-1|1|1|-1|1|1|1|-1|1|1|-1|1|-1|-1|-1|-1|-1|1|1|-1|-1|-1|1|1|1|-1|-1|1|-1|-1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|1|-1|1|-1|1|1|-1|1|-1|1|1
192|1974|Male|$100,001 - $150,000|Married (w/kids)|Bachelor's Degree|0|1|-1|1|-1|-1|1|-1|1|-1|-1|1|1|1|1|-1|-1|-1|1|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|1|1|1|1|1|1|1|1|-1|1|1|-1|-1|1|-1|-1|-1|1|-1|1|-1|1|-1|-1|-1|1|-1|-1|1|1|-1|1|-1|1|1|-1|1|1|1|1|-1|1|-1|1|1|-1|1|-1|1|-1|-1|1|-1|-1|-1|-1|-1|1|-1|1|1|1|-1|-1|1|1|-1|1|-1|-1|1
195|1996|Male|under $25,000|Single (no kids)|Current K-12|0|1|-1|-1|1|1|1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|-1|-1|1|-1|-1|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|-1|1|-1|1|1|-1|1|1|-1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
198|1980|Female|$75,000 - $100,000|Married (w/kids)|Bachelor's Degree|1|-1|-1|-1|-1|-1|-1|1|-1|-1|1|1|-1|1|-1|-1|1|-1|-1|-1|1|-1|1|1|-1|1|1|-1|-1|-1|-1|1|1|-1|1|-1|1|-1|-1|1|1|1|1|1|1|-1|1|-1|-1|1|-1|1|1|-1|1|1|-1|-1|1|-1|-1|-1|-1|1|1|1|1|-1|-1|1|-1|1|1|-1|-1|1|-1|-1|1|1|1|-1|-1|-1|1|1|1|1|1|-1|1|1|-1|-1|1|1|-1|1|-1|-1|-1
208|1968|Female|$100,001 - $150,000|Married (w/kids)|Bachelor's Degree|-1|1|-1|1|1|1|1|-1|1|-1|-1|1|-1|1|1|-1|-1|-1|1|1|-1|1|-1|1|-1|1|-1|1|1|-1|-1|1|1|-1|1|1|-1|1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1|1|-1|-1|-1|-1|1|-1|-1|1|-1|-1|1|-1|-1|1|1|1|1|-1|1|1|-1|1|-1|-1|1|1|1|-1|1|1|1|1|-1|-1|-1|1|-1|1|1|1|-1|1|-1|-1|1|-1|-1|1|1|-1|1
209|1973|Male|$75,000 - $100,000|Married (no kids)|Bachelor's Degree|0|1|-1|1|-1|1|1|-1|-1|-1|1|-1|-1|1|1|1|-1|-1|-1|-1|-1|1|1|-1|-1|1|-1|1|-1|-1|1|1|-1|-1|-1|1|1|1|-1|1|1|1|1|-1|1|1|-1|-1|1|1|-1|1|1|-1|1|-1|-1|1|-1|-1|1|-1|-1|1|1|-1|-1|-1|1|1|-1|1|-1|-1|1|-1|-1|1|1|1|-1|1|-1|-1|-1|-1|-1|1|1|1|-1|1|-1|-1|1|-1|-1|1|-1|-1|1
213|1993|Female|over $150,000|Single (no kids)|Current Undergraduate|-1|-1|-1|-1|1|-1|1|0|1|-1|1|1|1|1|1|-1|1|0|1|-1|-1|-1|-1|0|-1|1|-1|-1|-1|-1|-1|0|0|1|1|-1|-1|1|-1|-1|-1|0|-1|1|1|1|-1|0|1|-1|-1|-1|-1|0|-1|1|-1|-1|-1|-1|-1|1|-1|-1|1|0|0|1|-1|1|1|-1|0|-1|1|1|1|-1|-1|-1|0|-1|-1|-1|0|-1|-1|1|0|1|1|1|-1|-1|-1|1|-1|-1|0|-1|-1
225|1968|Female|$25,001 - $50,000|Single (w/kids)|Bachelor's Degree|1|1|-1|1|-1|-1|1|1|1|-1|1|1|-1|1|1|-1|1|-1|-1|1|-1|1|-1|1|-1|1|-1|1|1|-1|1|0|0|0|1|1|1|-1|-1|-1|1|-1|1|-1|1|1|-1|-1|1|-1|-1|1|-1|-1|-1|1|-1|1|1|-1|-1|1|1|-1|-1|1|-1|1|1|1|1|-1|-1|-1|1|-1|1|-1|1|1|-1|1|-1|-1|1|1|-1|1|1|1|-1|1|-1|-1|-1|-1|-1|1|-1|-1|-1
229|1967|Female|$50,000 - $74,999|Married (w/kids)|Associate's Degree|-1|-1|-1|1|-1|1|1|-1|1|-1|1|1|-1|1|1|-1|1|-1|-1|-1|-1|1|-1|-1|-1|1|-1|1|-1|-1|1|-1|1|-1|-1|1|-1|1|-1|1|1|1|1|-1|1|-1|1|-1|1|1|1|1|1|-1|1|-1|-1|-1|1|-1|-1|1|-1|-1|-1|-1|1|1|1|1|1|-1|1|-1|-1|-1|1|-1|-1|-1|1|1|-1|1|1|-1|-1|1|1|1|1|1|-1|-1|1|1|1|1|-1|1|1
